,Unnamed: 0,No. Resp,1. Menjadi marah karena hal-hal kecil/sepele ,6. Cenderung bereaksi berlebihan pada situasi ,8. Kesulitan untuk relaksasi/bersantai ,11. Mudah merasa kesal ,12. Merasa banyak menghabiskan energi karena cemas ,14. Tidak sabaran ,18. Ketakutan tanpa alasan yang jelas ,22. Tidak dapat menikmati hal-hal yang saya lakukan ,27. Kesulitan untuk tenang setelah sesuatu yang mengganggu ,29. Sulit untuk antusias pada banyak hal ,32. Merasa tidak berharga ,33. Tidak dapat memaklumi hal apapun yang menghalangi anda untuk menyelesaikan hal yang sedang Anda lakukan ,35. Tidak ada harapan untuk masa depan ,39. Anda Sering Gemetar (bukan karena penyakit fisik),Skor stress,Keterangan
0,0,1,1,1,1,1,2,2,3,1,3,1,1,2,1,1,21,Sedang
1,1,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,5,Normal
2,2,3,3,3,3,3,3,3,3,3,3,3,0,2,0,3,35,Sangat Parah
3,3,4,1,1,2,1,2,2,0,0,1,1,1,2,0,0,14,Sedang
4,4,5,1,2,2,2,3,1,3,1,2,0,1,1,2,2,23,Sedang
5,5,6,0,0,1,0,1,1,2,1,0,0,1,0,0,0,7,Normal
6,6,7,1,2,1,2,0,1,0,2,1,1,1,1,2,0,15,Sedang
7,7,8,1,0,0,0,0,0,0,3,1,0,0,0,0,0,5,Normal
8,8,9,0,1,1,0,3,3,0,1,2,0,0,2,0,1,14,Sedang
9,9,10,1,1,0,1,2,0,1,2,1,0,0,1,0,0,10,Ringan
10,10,11,1,1,2,1,2,2,2,1,1,1,2,1,0,1,18,Sedang
11,11,12,2,2,2,2,3,2,3,3,3,2,3,2,2,1,32,Parah
12,12,13,1,1,0,1,0,2,0,0,0,1,1,0,2,0,9,Normal
13,13,14,0,1,1,0,2,1,1,1,2,3,2,1,1,0,16,Sedang
14,14,15,1,1,0,0,1,0,2,0,1,0,2,0,0,0,8,Normal
15,15,16,1,1,2,1,2,1,3,3,2,1,1,2,1,1,22,Sedang
16,16,17,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,Normal
17,17,18,0,0,1,1,2,0,1,3,1,2,2,0,1,0,14,Sedang
18,18,19,0,0,0,1,1,1,1,0,1,0,2,0,0,1,8,Normal
19,19,20,1,1,1,2,2,1,0,1,1,1,2,1,0,0,14,Sedang
20,20,21,0,0,2,1,3,1,2,1,1,1,0,0,0,0,12,Ringan
21,21,22,1,1,0,2,3,2,1,0,2,1,0,0,0,0,13,Ringan
22,22,23,1,2,1,2,3,1,1,0,1,2,1,0,0,0,15,Sedang
23,23,24,1,1,1,1,3,3,3,1,1,1,1,1,1,0,19,Sedang
24,24,25,1,2,1,1,2,0,1,1,1,1,0,0,0,0,11,Ringan
25,25,26,1,1,2,2,3,1,3,2,3,1,2,1,2,1,25,Sedang
26,26,27,1,1,0,0,1,1,0,0,1,1,0,1,0,0,7,Normal
27,27,28,1,1,0,1,0,2,1,0,1,1,0,0,0,0,8,Normal
28,28,29,1,1,2,1,2,1,3,2,2,1,3,1,3,1,24,Sedang
29,29,30,1,2,2,2,3,2,2,3,2,2,2,3,3,2,31,Parah
30,30,31,2,2,1,1,3,3,1,1,1,1,1,1,0,0,18,Sedang
31,31,32,1,1,1,0,2,1,1,1,1,1,0,1,0,0,11,Ringan
32,32,33,1,0,0,0,0,0,0,0,0,2,1,0,0,0,4,Normal
33,33,34,2,2,2,1,3,1,1,0,3,0,0,0,0,1,16,Sedang
34,34,35,1,1,0,1,0,1,0,0,0,1,0,0,0,0,5,Normal
35,35,36,2,3,1,2,3,3,2,0,2,0,1,1,0,1,21,Sedang
36,36,37,2,2,1,2,3,1,3,0,1,0,0,1,0,3,19,Sedang
37,37,38,1,1,0,1,2,2,0,0,3,1,0,0,0,0,11,Ringan
38,38,39,1,1,1,1,2,0,2,1,2,1,1,1,0,0,14,Sedang
39,39,40,0,2,3,0,3,2,3,3,1,3,0,1,2,0,23,Sedang
40,40,41,1,0,2,1,1,0,0,0,1,0,0,1,0,0,7,Normal
41,41,42,1,1,2,0,3,1,3,3,3,3,3,3,0,2,28,Parah
42,42,43,1,2,2,2,3,2,2,2,2,2,3,0,2,1,26,Parah
43,43,44,1,1,0,1,2,1,0,1,1,1,1,1,1,1,13,Ringan
44,44,45,0,0,2,0,0,1,0,1,0,2,0,0,0,0,6,Normal
45,45,46,0,0,3,1,3,3,0,1,3,1,0,0,0,0,15,Sedang
46,46,47,1,1,2,1,2,1,3,1,3,1,2,2,1,0,21,Sedang
47,47,48,0,0,2,3,2,1,1,1,1,0,1,2,2,0,16,Sedang
48,48,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Normal
49,49,50,2,1,3,2,3,2,3,3,3,3,3,1,2,2,33,Parah
50,50,51,1,1,2,1,2,0,3,2,2,1,0,0,0,0,15,Sedang
